ID,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9.4275E+17,The spacious room w/ tv dresser/desk,116935236,Felicisimo,,ELEVENTH WARD,42.67034,-73.7851,Private room,54,7,19,,1,5,0,0,
9.50211E+17,"Historic, Spacious Mansion Suite",1717342,David,,SIXTH WARD,42.6541815,-73.7608605,Entire home/apt,104,1,172,,8,2,0,0,
9.50614E+17,A beautiful cozy home,529844022,Shirin,,FIRST WARD,42.63855,-73.76927,Entire home/apt,,1,0,,0,1,0,0,
9.57914E+17,"2 bedroom+home office, private parking & backyard",217254883,Ermenita,,NINTH WARD,42.6549886,-73.7939094,Entire home/apt,126,1,118,,5,1,0,0,
9.582E+17,Oasis Garden Apt w/Queen Bed,172539578,David Yisrael,,FIFTEENTH WARD,42.6789628,-73.81724462,Entire home/apt,116,3,19,,1,4,0,0,
9.63921E+17,Comfy studio in heart of Albany,189586864,Justin,,SIXTH WARD,42.65241,-73.77002,Entire home/apt,89,1,100,,5,1,0,0,
9.65314E+17,Historic Brownstone in Downtown Albany,533703131,Abel,,THIRD WARD,42.65665876,-73.7493968,Entire home/apt,,1,6,,3,1,0,0,
9.66288E+17,"Modern 2-bed Apt / Hospitals, SUNY, State Office",374765317,Tanjin,,FIFTEENTH WARD,42.67059,-73.81678,Entire home/apt,136,28,21,,1,1,0,0,
9.69887E+17,Abba House historic Retreat - 1st Floor Queen Bed,382970529,Thomas,,FOURTEENTH WARD,42.66877,-73.79927,Private room,55,1,123,,6,15,0,0,
9.80034E+17,Chic Madison Parkview,241123402,JShing,,SIXTH WARD,42.65312775,-73.76950465,Entire home/apt,91,1,25,,1,1,0,0,
9.83307E+17,The House That Pat Built,114183978,Tyrell,,FIFTH WARD,42.66628,-73.76512,Entire home/apt,116,2,4,,0,1,0,0,
9.8901E+17,Modern 1BR in a great location,75667477,Ahmad,,THIRD WARD,42.65515516,-73.76052583,Entire home/apt,77,30,7,,0,1,0,0,
9.9212E+17,Two bedroom close to colleges!,152762198,Allen,,FOURTEENTH WARD,42.67098,-73.80695,Entire home/apt,100,3,18,,1,9,0,0,
9.92555E+17,"Beautiful  5 bedrm , 3.5 bathroom, private parking",476189412,Timothy,,SEVENTH WARD,42.64485687,-73.77281881,Entire home/apt,222,2,9,,1,1,0,0,
9.93431E+17,Albany 3 Bedroom Apt. Sleeps 6,309980121,Ron,,SIXTH WARD,42.65623,-73.7641152,Entire home/apt,,14,12,,1,1,0,0,
9.99162E+17,"Spacious Apartment Downtown Albany, NY",531209536,Amar,,THIRD WARD,42.65762,-73.75116,Entire home/apt,90,1,35,,2,2,0,0,
1.00498E+18,Elegant Albany Retreat | Mins to D/T & UAlbany,31318080,Cindy,,EIGHTH WARD,42.6555,-73.81066,Entire home/apt,163,2,55,,3,1,0,0,
1.00598E+18,Massive 4BD/3BA 2-Fl Townhouse Apt Downtown Albany,44434571,Earl,,SECOND WARD,42.6453489,-73.7536465,Entire home/apt,196,1,64,,3,9,0,0,
1.00735E+18,Top floor w/off street parking,232967878,Diana,,TENTH WARD,42.66091,-73.78453,Entire home/apt,,1,37,,2,22,0,0,
1.01076E+18,Abba House Historic Retreat - 3rd Flr Twin Bed,382970529,Thomas,,THIRTEENTH WARD,42.67003,-73.79771,Private room,51,1,64,,3,15,0,0,
1.01076E+18,Abba House historic Retreat - 3rd Floor Single Bed,382970529,Thomas,,THIRTEENTH WARD,42.66971,-73.79755,Private room,51,1,70,,4,15,0,0,
1.01286E+18,Centrally Located 4 Story Manor,382970529,Thomas,,THIRTEENTH WARD,42.66989925,-73.79770311,Entire home/apt,1280,1,0,,0,15,0,0,
1.01366E+18,Abba House Historic Retreat - 2nd Floor Full Bed,382970529,Thomas,,FOURTEENTH WARD,42.66873,-73.7993,Private room,59,1,22,,1,15,0,0,
1.01539E+18,纽约州首府的温馨小屋,182509542,Yan,,NINTH WARD,42.6558992,-73.7965699,Private room,24,1,0,,0,1,0,0,
1.01605E+18,Heart of Albany - Downtown Near Everything,42708277,Rodney,,SIXTH WARD,42.65539,-73.76416,Entire home/apt,70,1,41,,2,7,0,0,
1.01827E+18,Spacious Townhouse Walking Distance from Downtown,528617680,Paola,,SECOND WARD,42.6459,-73.75828,Entire home/apt,102,1,1,,0,2,0,0,
1.0183E+18,"Cozy Room w/ Walk-In Closet, Hot Tub and Coffee!",382970529,Thomas,,FOURTEENTH WARD,42.66792031,-73.79895761,Private room,56,1,16,,1,15,0,0,
1.0183E+18,Abba House Historic Retreat - 2nd Floor Queen Bed,382970529,Thomas,,THIRTEENTH WARD,42.66996,-73.79816,Private room,67,1,86,,4,15,0,0,
1.01897E+18,1 Comfy Bedroom Across the Park,37769478,Erion,,SIXTH WARD,42.6535,-73.77046,Entire home/apt,79,1,61,,3,11,0,0,
1.02052E+18,Downtown Studio,233515764,Etem,,SECOND WARD,42.64714,-73.75466,Entire home/apt,65,1,142,,8,6,0,0,
1.02099E+18,*Beautiful* Spacious Prime DT 1 Bedroom Apt w GYM,47625981,Linda,,THIRD WARD,42.6586,-73.76421,Entire home/apt,107,1,21,,1,18,0,0,
1.02101E+18,*Spacious* Modern 1 Bedroom RARE Apt w GYM,47625981,Linda,,THIRD WARD,42.65971,-73.76382,Entire home/apt,107,1,29,,2,18,0,0,
1.02305E+18,Great home in Albany,496990578,Brian,,ELEVENTH WARD,42.66838,-73.77868,Entire home/apt,116,1,83,,4,1,0,0,
1.03472E+18,"*Huge, bright, private 2Bedroom*",130404008,Michael,,THIRD WARD,42.65711,-73.75133,Entire home/apt,91,14,2,,0,1,0,0,
1.04062E+18,Safe - Sweet -Serene - Long Term,42708277,Rodney,,SIXTH WARD,42.65447,-73.76078,Entire home/apt,67,1,48,,3,7,0,0,
1.04357E+18,2 bed room Apartment,212885959,Osas,,SECOND WARD,42.63976,-73.75705,Entire home/apt,115,1,19,,1,1,0,0,
1.05154E+18,Renovated Cozy 1920’s Apartment,31994990,Gonca,,SEVENTH WARD,42.64478,-73.7764,Entire home/apt,53,28,1,,0,2,0,0,
1.05238E+18,Charming Bungalow in Albany!,52464523,Dashima,,FIRST WARD,42.64081,-73.77463,Entire home/apt,114,30,9,,1,1,0,0,
1.05647E+18,"Bonjour, Bienvenue A Chez Pierre",553112010,Lynn,,TWELFTH WARD,42.7149,-73.87649,Private room,101,2,1,,0,1,0,0,
1.06181E+18,Massive 5BD/4BA 3-Story Duplex @ Downtown Albany,44434571,Earl,,SECOND WARD,42.64418,-73.75316,Entire home/apt,337,1,18,,1,9,0,0,
1.06253E+18,"Nighthawk room, private twin near AMC, UAlbany",20536619,Emily,,THIRTEENTH WARD,42.67096,-73.79514,Private room,51,4,12,,1,8,0,0,
1.07318E+18,In the heart of Albany,31994990,Gonca,,SEVENTH WARD,42.64473,-73.77641,Entire home/apt,53,20,2,,0,2,0,0,
1.07544E+18,The Tangerine Door,542733174,Rebecca,,TWELFTH WARD,42.67908,-73.79505,Entire home/apt,140,2,24,,1,1,0,0,
1.07974E+18,Lark St Oasis: Parking & Laundry,119340359,Lori,,SIXTH WARD,42.65531,-73.76449,Entire home/apt,145,2,7,,0,2,0,0,
1.09078E+18,Newly renovated cozy apartment !,521669673,Kody,,THIRD WARD,42.65975,-73.76311,Entire home/apt,70,14,1,,0,3,0,0,
1.09142E+18,2 bed with parking off Madison,232967878,Diana,,TENTH WARD,42.65988,-73.78486,Entire home/apt,136,2,17,,1,22,0,0,
1.0915E+18,Triplex oasis w:parking near MVP,232967878,Diana,,SECOND WARD,42.64409,-73.75709,Entire home/apt,76,2,64,,4,22,0,0,
1.0972E+18,Cozy 1-Bedroom Apt in Albany (Entire Apartment),360806709,Gloria,,SEVENTH WARD,42.64149,-73.77925,Entire home/apt,,1,56,,5,1,0,0,
1.098E+18,New Center square studio,232967878,Diana,,SIXTH WARD,42.65269,-73.76567,Entire home/apt,88,2,45,,3,22,0,0,
1.10088E+18,"Homey, Quiet 2BR W/ Washer Dryer",152762198,Allen,,FOURTEENTH WARD,42.67008,-73.80691,Entire home/apt,94,3,28,,2,9,0,0,
1.10298E+18,Lovely 1 bedroom across the Park,37769478,Erion,,SIXTH WARD,42.65289,-73.76834,Entire home/apt,90,1,50,,3,11,0,0,
1.1053E+18,Downtown Brownstone with a View!,14817455,Matt,,THIRD WARD,42.65749,-73.75263,Entire home/apt,184,7,0,,0,1,0,0,
1.10806E+18,downtown,539608284,Joyhefsiba,,THIRD WARD,42.66141,-73.76361,Private room,46,30,0,,0,1,0,0,
1.11122E+18,Historical Pastures,418250661,Stephanie,,THIRD WARD,42.6564469,-73.7507251,Entire home/apt,99,2,11,,1,1,0,0,
1.11969E+18,Serene 1BR Escape: Walk to Eateries & Parks in ALB,472965048,Corey,,SIXTH WARD,42.65348,-73.7637,Entire home/apt,74,1,14,,1,2,0,0,
1.11984E+18,1 bed 1 bath Apartment,477328400,Tyler,,SEVENTH WARD,42.64885,-73.76523,Entire home/apt,90,2,38,,3,2,0,0,
1.12021E+18,Garden Apt Suite in Historic 1858 Row House + W/D,472965048,Corey,,SIXTH WARD,42.65194,-73.76526,Entire home/apt,87,1,28,,2,2,0,0,
1.1217E+18,Cozy apartment in Albany,1761578,Grant,,SIXTH WARD,42.65314,-73.76546,Entire home/apt,90,2,6,,0,3,0,0,
1.12323E+18,"Modern townhouse 2 Bedrooms, King Bed, parking",10279606,Noriyuki,,FIFTEENTH WARD,42.66901,-73.82402,Entire home/apt,165,1,49,,4,3,0,0,
1.12456E+18,Charming 1BR Near Capitol-Dwntwn,46312980,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,64,3,4,,0,2,0,0,
1.12463E+18,Modern Duplex - Historical Home,46312980,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,94,3,5,,0,2,0,0,
1.12833E+18,Downtown Albany Vacation Rental - Chic & Walkable!,121680792,Evolve,,THIRD WARD,42.65783832,-73.75382159,Entire home/apt,135,2,3,,0,5,0,0,
1.12839E+18,Welcome home travelers,502037254,Andrew,,SEVENTH WARD,42.64893,-73.76886,Entire home/apt,,25,2,,0,3,0,0,
